North Cape Tunnel	part	European route E69
National Hockey League All-Star Game	part	1999–2000 NHL season
Island Line	part	National Rail
Zambezia	part	Portuguese East Africa Colony
swell	part	Colorado Plateau
olecranon process	part	ulna
Alston Moor	part	Diocese of Newcastle
Transylvania	part	Kingdom of Hungary
federal government of the United States	part	competitive service
Azerbaijan	part	Soviet Union
Dominion of Newfoundland	part	British Commonwealth
Singapore	part	Straits Settlements
Ireland	part	British Empire
Judea	part	Ptolemaic Kingdom
Lands of the Bohemian Crown	part	Habsburg Monarchy
Sea Cadets	part	Royal Navy
Suvalkija	part	Congress Poland
NWS-9	part	Nine Network
Public schools	part	Ann Arbor Public Schools
birdwatching	part	ecotourism
Islamic world	part	Mongol Empire
Ancient Greek	part	classical education
British Isles	part	continental Europe
Oregon Ducks	part	Pacific-12 Conference
Alsace	part	German Empire
Lampedusa	part	Kingdom of Sicily
Yunnan	part	Three Parallel Rivers of Yunnan Protected Areas
Jura mountains	part	Helvetic nappes
triathlon	part	Triathlon at the 2006 Asian Games
University of Cambridge	part	School of Clinical Medicine
Hexi Corridor	part	Silk Road
Chaplaincy	part	Church of England
Hackney Central railway station	part	London Overground
Ireland	part	the Union
Ricardo Pierre-Louis	part	Haiti
Thrace	part	Ottoman Empire
floodplain	part	Ulanga District
Bhutan	part	Royal Bhutan Army
Bình Thuận Province	part	Champa
Kishore Kumar	part	Binaca Geetmala annual list 1976
Museu Tèxtil i d'Indumentària	part	Disseny Hub Barcelona
Gabinet de les Arts Gràfiques	part	Disseny Hub Barcelona
Swedish-Brandenburg War	part	Franco-Dutch War
stage race	part	2012 UCI Europe Tour
Rüderswil	part	Freiherrschaft
state atheism	part	Marxist–Leninist ideology
oil field	part	Wytch Farm
Municipality of Trebnje	part	Southeast Slovenia statistical region
Bridgeport, Connecticut	part	Diocese of Bridgeport
Badminton	part	Arab Games
Rheinufertunnel	part	Bundesstraße 1
New Holland	part	CNH Global
Mittelsachsen	part	Ore Mountains/Vogtland Nature Park
Sangli	part	Maratha Empire
bayou	part	Cache
Foss	part	Forest of Galtres
gender	part	essential
Haworth railway station	part	Keighley and Worth Valley Railway
Mon language	part	Monic
North-Western Catalan	part	Western Catalan
Lake Highlands High School	part	Richardson Independent School District
U.S.	part	Red Lake Indian Reservation
Ireland	part	United Kingdom of Great Britain and Ireland
Koppenbergcross	part	BPost Bank Trophy
Kōshū Kaidō	part	Yoyogi
Sweetwater High School	part	Monroe County Schools
Dodge Challenger	part	Museum of History and Industry
Victorian age	part	United Kingdom
Chinese	part	Sino-Tibetan
railway station	part	QR
Andipatti (State Assembly Constituency)	part	Theni (Lok Sabha constituency)
Bolivia	part	Andes
County of Nice	part	Kingdom of Sardinia
Hamburger	part	American food
Australia	part	Frankland Islands
Gravelines	part	Flanders
Agam Kuan	part	Ashoka's Hell
combatant	part	International Brigades
Blackfoot language	part	Algonquian
Micmac language	part	Algonquian
bergamasque	part	Castelli Calepio
Mumbai Monorail	part	monorail
corpus	part	FidaPLUS
Upper Tanana language	part	Athabaskan
Lisu	part	Tibeto-Burman
Cyprus	part	British Empire
kingdom of Sardinia	part	Spanish crown
Ogongo Agricultural College	part	University of Namibia
Karen languages	part	Tibeto-Burman languages
Budjak	part	Kingdom of Romania
Badminton	part	Pan American Games
Grand Junction, Colorado	part	Dinosaur Diamond Prehistoric Highway
Soso (search engine)	part	Tencent
transport layer	part	runtime library
Washington	part	American cordillera
Belgic Confession	part	Three Forms of Unity
Adams's birthplace	part	Adams National Historical Park
Napoleonic Wars	part	Further Austria
Kittatinny Valley	part	Great Appalachian Valley
Bidar Sultanate	part	Deccan sultanates
Burma	part	Roman Catholic Church
Laos	part	Catholic Church
parliamentary elections	part	Our Ukraine–People's Self-Defense Bloc
Guernsey	part	United Kingdom
Lesotho	part	Catholic Church
Morocco	part	Catholic Church
Seychelles	part	Roman Catholic Church
Burma Province	part	British India
Nitrification	part	nitrogen cycle
Qatar	part	Catholic Church
Isle of Man	part	Archdiocese of Liverpool
Abdul-Rahman	part	Ujman
Lithuania	part	Russian Empire
Croatia	part	Habsburg Monarchy
Sanford	part	New England Interstate Route 11
Malawi	part	Catholic Church
Moldova	part	Roman Catholic Church
Senegal	part	Roman Catholic Church
Sierra Leone	part	Roman Catholic Church
Alsace-Lorraine	part	Germany
parliamentary elections	part	Lytvyn's People's Bloc
Mauritius	part	Roman Catholic Church
Panama	part	Roman Catholic Church
Puerto Rico	part	Roman
Serbia	part	Catholic Church
parliamentary elections	part	Our Ukraine
Northern Ireland	part	Methodist Church in Ireland
Raymond	part	NH 101
parliamentary elections	part	For United Ukraine
parliamentary elections	part	Lytvyn Bloc
Janapada	part	Harappa
Roman Catholic Church	part	Franciscan
Isle of Bute	part	county of Bute
Pacific Ocean	part	Atlantic Ocean
parliamentary elections	part	Viktor Yushchenko
Quapaw language	part	Dhegiha
Rajapalayam (State Assembly Constituency)	part	Tenkasi (Lok Sabha constituency)
parliamentary elections	part	Viktor Yushchenko Bloc Our Ukraine
parliamentary elections	part	Yulia Tymoshenko Bloc
neural tract	part	indirect extrapyramidal tract
parliamentary elections	part	Team of Winter Generation
Roman Catholic Church in Azerbaijan	part	Roman Catholic Church
parliamentary elections	part	Yulia Tymoshenko Electoral Bloc
Malkapur (Vidhan Sabha constituency)	part	Raver (Lok Sabha constituency)
rainforest	part	Main Range
Estonia	part	Soviet Union
Saint Thomas Christians	part	East Syrian
General Santos	part	South Cotabato
Northwestern Indiana	part	Chicago metropolitan area
Killiyoor assembly constituency	part	Kanyakumari
marching band	part	Western Band Association
Ambasamudram (State Assembly Constituency)	part	Tirunelveli (Lok Sabha constituency)
Aravakurichi (State Assembly Constituency)	part	Karur (Lok Sabha constituency)
Australia	part	Australian culture
draft	part	common draft
Manamadurai (State Assembly Constituency)	part	Sivaganga (Lok Sabha constituency)
Kanyakumari	part	Travancore
Kattumannarkoil assembly constituency	part	Chidambaram (Lok Sabha constituency)
Thiruvottiyur (State Assembly Constituency)	part	Chennai North (Lok Sabha constituency)
Northern Ireland	part	United Kingdom
Malappuram	part	Malabar District
Florida Keys	part	Cuba
Croatia	part	Austrian-Hungarian empire
Czechoslovakia	part	Austrian-Hungarian empire
Hungary	part	Austrian-Hungarian empire
Ukraine	part	Austro-Hungarian Empire
title track	part	The Rock and Roll Hall of Fame's 500 Songs that Shaped Rock and Roll
Kurdistan	part	Iranian Empire
Arrapkha	part	Sargon of Akkad
reclaimed land	part	Keiyō Industrial Zone
biosphere	part	carbon cycle
office tower	part	Denver Place
Finland	part	Russian Empire
stage race	part	2010–2011 UCI Europe Tour
desktops	part	Lenovo's
Bakossi Mountains	part	Cameroon Line
Paul Whatuira	part	Wests Tigers
desktops	part	Lenovo’s
Ghad El-Thawra Party	part	Conference Party
Leros	part	Dodecanese
U.S. 61	part	Great River Road
Bosnia	part	Yugoslavia
Cochimí language	part	Yuman–Cochimí
Singapore	part	Malaysia
Tirumangalam assembly constituency	part	Virudhunagar (Lok Sabha constituency)
high school	part	Monmouth Regional High School District
Krishnagiri Assembly Constituency	part	Krishnagiri Lok Sabha Constituency
left winger	part	Greece national under-20 football team
Iyad Ag Ghaly	part	early 1990s rebellion
triathlon	part	Triathlon at the 2004 Summer Olympics
UMMC	part	University of Malaya
Archery	part	Pan American Games
Government Higher Secondary School Panamattom	part	Cultural History
US 119	part	WV 14
Monmouthshire	part	Wales
radio band	part	radio frequency spectrum
Wołkowysk powiat	part	Białystok Voivodeship
crossovers	part	canon
Egypt	part	Byzantine/Eastern Roman Empire
Chinatown	part	City of Westminster
Babylon	part	Parthian Empire
Nuu-chah-nulth language	part	Wakashan language
Edo period	part	Odawara Domain
Highway 9	part	York—Simcoe
IX Bomber Command	part	Ninth Air Force
Aitutaki	part	Cook Islands
English Cross Country Association	part	Amateur Athletic Association
Royapuram assembly constituency	part	Chennai North (Lok Sabha constituency)
mathematics	part	Faculty of Philosophy
Cluj-Napoca	part	Austro-Hungarian Empire
Tabarka	part	Republic of Genoa
Chełm	part	Lublin Governorate
